127.0.0.1 - - [11/Oct/2022:10:37:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:37:14 +0530] "GET /BindingResult/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:42:08 +0530] "GET /BindingResult/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:42:16 +0530] "GET /BindingResult/hello HTTP/1.1" 500 6057
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:43:54 +0530] "GET /BindingResult/hello HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:44:03 +0530] "POST /BindingResult/open HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:44:40 +0530] "POST /BindingResult/open HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:50:27 +0530] "GET /BindingResult/hello HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:50:34 +0530] "POST /BindingResult/open HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:51:41 +0530] "POST /BindingResult/open HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:51:43 +0530] "GET /BindingResult/hello HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:53:09 +0530] "GET /BindingResult/hello HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:53:16 +0530] "POST /BindingResult/open HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:58:00 +0530] "GET /BindingResult/hello HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [11/Oct/2022:10:58:10 +0530] "POST /BindingResult/open HTTP/1.1" 200 584
